analyte,intercept (cps),intercept_sd (cps),slope (cps/ppb),slope_sd (cps/ppb),r2
[24Mg]+,4434.1560906341,68.2986764859942,3460.61688690636,54.3445767998706,0.863856192683752
[25Mg]+,713.038316165773,20.0616943193554,478.53097234529,15.5621973073009,0.844888677352459
[27Al]+,5946.05690247005,150.325320085268,5283.77715502719,82.7331654860117,0.961119790389657
[28Si]+,194886.23430812,1416.51492380247,-1175.16947020238,1119.13829397635,0.289432845159367
[29Si]+,95643.0926030104,510.644697275239,-2869.64702234288,551.954045008413,0.64995381842565
[45Sc]+,1861.29790472679,28.7454304574045,10085.589443873,89.1217666385444,0.999524144454638
[46Ti]+,151.284126806298,7.47803425414457,713.300158770063,12.0621513638796,0.999561184400958
[47Ti],61.2144418067994,5.23159852519547,692.752047464179,11.1394250605429,0.999415510975196
[48Ti]+,353.267056659893,15.9401433208299,7645.66244475566,69.0928287008991,0.994417705609484
[49Ti]+,62.131416627924,4.39538390964207,599.37870678633,10.7115227826697,0.999186410662325
[52Cr]+,2855.57965220203,42.0868226911949,9837.8614813463,102.843582092006,0.999905762785718
[53Cr]+,69.092061142217,5.24260991173178,1430.95943313197,20.2011535070277,0.99997100061199
[54Fe]+,2238.17367022181,37.8647092076099,1554.0606151957,32.5272614617668,0.999608748776389
[55Mn]+,350.895562485107,18.6554204789171,16322.0553670092,130.303622870341,0.999050711642354
[56Fe]+,976737.875689215,4634.94300426417,6493.96454077062,2825.76782695185,0.295592600797818
[57Fe]+,4298.97001159657,39.2473244588481,342.953741531786,23.7980962361214,0.991360094056308
[58Ni]+,2868.63432979316,35.8864586542687,6925.95844481092,75.3631041191904,0.999583139161307
[59Co]+,414.395416974576,14.4676017970333,12702.3307683733,103.998878568655,0.999896493407217
[60Ni]+,180.340483336525,7.86949936077584,2912.59451641073,33.272923422412,0.999310167988535
[63Cu]+,236.741400107121,10.5929433930371,7892.8199680541,63.6677309211433,0.938129522382887
[64Zn]+,1572.20655724082,32.0783896689608,4806.96742593278,50.2696358229954,0.930485338690818
[65Cu]+,160.117540172656,8.29430131000044,3729.60812424269,34.3882840431335,0.949701068665723
[66Zn]+,918.288013062899,22.6514664682414,2828.86237398645,32.4984543274741,0.932563370648649
[67Zn]+,153.071600122726,6.53516025393614,480.081584137609,10.2299952337295,0.942656551959253
[68Zn]+,1278.05340847415,22.076645414087,2067.73216659943,26.929228032715,0.935826346414813
[69Ga]+,21.8252859460999,6.07168847553977,12194.8809301238,91.1138456586209,0.998169492063595
[71Ga]+,8.07277007254489,3.55823035484211,8105.15922795904,66.69200337581,0.997625187255172
[72Ge]+,63.541805696992,6.22622701269375,2932.26402543388,28.9290448769591,0.999976533699618
[75As]+,55.2119927248954,4.93563508172985,1931.346271739,22.6269695675536,0.999896636833599
[78Se]+,1569.60479555354,20.3735214433213,604.384503907592,19.1149935924567,0.998954497607292
[80Se]+,1304389.67598424,5184.93194927639,-11591.1647140652,3500.64854087798,0.398576696479811
[85Rb]+,244.372818318899,11.1032492459456,15358.4240253654,119.394732065223,0.999657284585589
[88Sr]+,223.490564238809,11.6770873728052,21056.894518421,151.782193842545,0.995558766038304
[89Y]+,44.8031316929486,6.34787957193247,24116.5064308274,167.403687980701,0.997176947751352
[90Zr]+,0.0111264144156422,4.97813075479963,10333.5381910104,77.5998496453516,0.955001311753217
[93Nb]+,29.1940536410001,5.67060251798958,17227.6946893657,124.344942258322,0.997073184713021
