Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[48Ti]+ /g,[52Cr]+ /g,[53Cr]+ /g,[55Mn]+ /g,[54Fe]+ /g,[56Fe]+ /g,[57Fe]+ /g,[59Co]+ /g,[58Ni]+ /g,[60Ni]+ /g,[63Cu]+ /g,[65Cu]+ /g,[64Zn]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[94Zr]+ /g,[93Nb]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[108Pd]+ /g,[107Ag]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[142Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[144Nd]+ /g,[152Sm]+ /g,[154Sm]+ /g,[151Eu]+ /g,[153Eu]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g,[47Ti] /g,[49Ti]+ /g,[51V] /g
11,0.018479794551379,,,2.22944833909448E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0344631613709489,,,2.09666422855643E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.042843751613334,,,3.59900038680093E-16,,,,,,,,,,,,,,,8.4444911907554E-17,,,,,,,,,,,,,,,,,,,,,,,,2.60202414599997E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0448520724702176,5.74567567704263E-16,,,,,,,,,,9.55296417990184E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0724010975578016,,,8.55052767388879E-16,,,,,,,,,3.94311011441542E-15,,6.72586592162271E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.22464448209748E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.0904751319360563,,,,,,,,,,,,6.91606291484526E-16,,,,,,5.20032890871937E-17,,,,,,,,,,,,,,,,,,,,,,,,3.32592798128101E-16,3.39705812978691E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0965022278409505,,,3.97479693016642E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,0.158284014201179,,,3.90372281603161E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,0.184299598634495,,,8.66693673181347E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,0.25425973515082,,,2.97348032800665E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.60603127989294E-16,
145,0.286225615456263,,,2.99931771031585E-16,,,,,,,,,4.16223757637576E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.31085187208543E-16,1.21549811386833E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,0.296217299719381,,,3.21436447408124E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,0.318207282435107,,,2.84495107106941E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0.388228005643949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25471019118374E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0.394220968200946,,,1.19148512850264E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12322771880393E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,0.460261316378162,,,9.13692900806968E-16,,,,,,,,,1.39682646177749E-15,,,,,,6.52033572920918E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,0.464327024779531,,,1.02301841561772E-15,,,,,,,,,1.34123187747097E-15,,,,,,5.90571336932093E-17,,1.22274469230124E-16,,,,,,,,,,,,,,,,,,,,,,2.02642984447151E-16,4.3727003499703E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,0.488279674999328,,,1.39166519968928E-15,,,,,,,,,1.35607773355032E-15,,2.98047884693702E-15,,,,7.12046326734905E-17,1.06294956879796E-16,,,,,,,,,,,,,,,,,,,,,,,7.58002541970216E-16,5.62205044396311E-16,,,,,,,,,,,4.02687696194311E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,0.524300597034921,,,1.67623316563789E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,0.590244091837479,,,,,,,,,,,6.3383031417612E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,0.610228313697414,,,2.16884410745738E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,0.630223202228566,,,1.04725813185526E-15,,,,,,,,,4.9270940557196E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81241169686954E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,0.638176698955392,,,1.98730000408823E-15,,,,,,1.16489100474256E-16,,,4.77419051497808E-15,2.1037692140829E-14,9.43209764549454E-15,,1.09027888509752E-16,,1.6996458327612E-16,2.20964896421415E-16,,2.92085162081671E-16,,,,,,,,,,,,,,,,,,,,,1.00848572817853E-15,1.18079565229614E-15,,,,,,,,,,,7.29307144754436E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,0.678220662707483,,,,,,,,,,,,,,,,,,,,,1.72206149458677E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,0.680213196890964,,,2.1994604093989E-15,,,,,,,,,3.67364165786931E-15,1.66577652659324E-14,5.2849912738531E-15,,9.15143171536889E-17,,1.37117074203757E-16,,,,,,,,,,,,,,,2.72167073205543E-17,,,,,,,,,9.15799107789081E-16,8.00080835690033E-16,,,,3.6444679001702E-17,,,,,,,3.28784320503824E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,0.716209798916181,,,6.9439742887291E-16,,,,,,,,,5.32252543034063E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86916298552859E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,0.736192740775569,,,2.62036657140975E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,0.762165658524014,,,6.11619935253692E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,0.778211318703496,,,,,,,,,,,,,,,,,,,,,,,,,,,3.247810577769E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,0.816191068241522,,,5.84336726069042E-16,,,,,,,,,5.58906531548875E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,0.856184685305466,,,,,,,1.40742062230375E-15,1.50427112900017E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.03323440730631E-15,9.32490820710974E-16,
