Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[48Ti]+ /g,[52Cr]+ /g,[53Cr]+ /g,[55Mn]+ /g,[54Fe]+ /g,[56Fe]+ /g,[57Fe]+ /g,[59Co]+ /g,[58Ni]+ /g,[60Ni]+ /g,[63Cu]+ /g,[65Cu]+ /g,[64Zn]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[94Zr]+ /g,[93Nb]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[108Pd]+ /g,[107Ag]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[142Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[144Nd]+ /g,[152Sm]+ /g,[154Sm]+ /g,[151Eu]+ /g,[153Eu]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g,[47Ti] /g,[49Ti]+ /g,[51V] /g
0,0,1.43754676812423E-15,,1.50965749370628E-14,-1.5914780910362E-13,,,,1.51232778047404E-16,,,,4.55385971462705E-15,1.8180407859256E-14,7.83269497810335E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0187217200081E-16,1.09897204893152E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41138672504262E-17
6,0.0114952582379768,,,5.85684670426891E-16,,,,,,,,,5.2052139184742E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0150651797611434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.10293973022186E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0528072758644377,,,,-4.25993174167943E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0546662633242724,,,8.23491325628599E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0646268009074351,,,1.96396638901609E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.0905472386334885,,,2.49169913938819E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0973231348578709,,,6.66065220428707E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.120823518218034,,,3.13391583005266E-16,,,,,,,,,5.59648170992088E-16,,2.23772141411192E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,0.172810740399249,,,4.91926959999933E-16,-4.1026372248251E-14,,,1.47004664998119E-15,2.16899423267211E-15,,,,2.87673697019408E-15,9.7548346181337E-15,4.21460395740984E-15,,,,1.31900165320359E-16,,2.97461416619548E-16,3.70564312562947E-16,,,,,,,,,,,,,,,,,,,,,1.39324939415506E-15,1.11370997861584E-15,,,,,,,,,,,3.26761266432097E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83937141113969E-15,1.42922302414237E-15,
96,0.188781307213358,,,,,,,,,,,,4.47262513538447E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0.192903335638757,,,2.25294308896591E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.206786221562121,,,4.20549543464412E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.212799664127857,6.43796559641592E-16,,2.42629743455342E-15,,,,,,,,,3.48133344315234E-15,1.42677935648216E-14,6.15139645047346E-15,,1.02226378221512E-16,,6.8239849508905E-17,1.37175845706525E-16,1.22123209368771E-16,1.48293210062309E-16,,,,,,,,,,,,,,,,,,,,,2.1858664333261E-15,2.25847606914705E-15,,,,,,,,,,1.39773763470268E-16,4.22321140603567E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0.223093428519863,,,3.53859428677705E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,0.22878175094688,,,2.16010580435538E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,0.249136319631496,,,3.48496956326832E-16,,,,1.29807344363977E-15,1.67149180442259E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3616573621508E-15,1.67225460994211E-15,
157,0.310775172597407,,,,,,,,,,,6.19332631901123E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.312809946798911,,,1.47854919495713E-15,,,,,,,,,7.13724445270698E-16,,2.31477180639944E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98530885840641E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0.342898919636872,,,1.82559099149515E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.352742550503488,,,5.9210520242876E-16,,,,,,,,,4.74800872540544E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.12645210554347E-16,3.33371302336437E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0.384867150876651,,,,,,,,,,,,,,,,,,,8.76262201705532E-17,,,,,,,,,,,,,,,,,,,,,,,1.76998164009878E-16,1.57415446803598E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.426748342079293,,,1.91207352819618E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0.50478869537651,,,2.70452410222586E-16,,,,,,,,,1.19904848807247E-15,,2.29488878891041E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.39275699846155E-16,1.92453885886123E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
